,Team,Win,Loss,lat,lon
0,LAA,36,38,34.05,-118.24
1,HOU,45,33,29.76,-95.37
2,OAK,35,35,37.8,-122.27
3,TOR,35,39,43.65,-79.39
4,ATL,28,44,33.75,-84.39
5,MIL,42,38,43.03,-87.92
6,STL,40,37,38.63,-90.2
7,CHC,43,33,41.88,-87.62
8,ARI,43,29,-28.39,-49.38
9,LAD,47,24,34.05,-118.24
10,SF,29,43,37.78,-122.42
11,CLE,43,32,41.51,-81.69
12,SEA,32,41,47.6,-122.33
13,MIA,36,36,21.53,-78.23
14,NYM,32,44,40.73,-73.99
15,WSN,38,34,38.9,-77.04
16,BAL,34,35,39.29,-76.61
17,SD,40,38,32.72,-117.16
18,PHI,31,42,39.95,-75.16
19,PIT,34,37,40.44,-79.99
20,TEX,37,40,-28.86,151.17
21,TB,38,39,27.95,-82.46
22,CIN,35,42,39.1,-84.51
23,BOS,38,33,42.36,-71.06
24,COL,41,35,-22.84,-51.97
25,KCR,35,38,39.08,-94.56
26,DET,29,47,42.35,-83.06
27,MIN,36,40,40.66,-122.49
28,CHW,30,42,41.88,-87.62
29,NYY,46,30,40.73,-73.99
