,year,abbr,team_name,home_base,win,loss,lat,lon,performance
0,2013,LAA,Angels,"Los Angeles,US",32,42,34.05,-118.24,0.7619047619047619
1,2013,HOU,Astros,"Houston,US",20,57,29.76,-95.37,0.3508771929824561
2,2013,OAK,Athletics,"Oakland,US",44,29,37.8,-122.27,1.5172413793103448
3,2013,TOR,BlueJays,"Toronto,CA",34,41,43.65,-79.39,0.8292682926829268
4,2013,ATL,Braves,"Atlanta,US",45,25,33.75,-84.39,1.8
5,2013,MIL,Brewers,"Milwaukee,US",29,44,43.03,-87.92,0.6590909090909091
6,2013,STL,Cardinals,"St. Louis,US",50,27,38.63,-90.2,1.8518518518518519
7,2013,CHC,Cubs,"Chicago,US",28,50,41.88,-87.62,0.56
8,2013,ARI,Diamondbacks,"Arizona,US",32,36,41.81,-96.13,0.8888888888888888
9,2013,LAD,Dodgers,"Los Angeles,US",39,34,34.05,-118.24,1.1470588235294117
10,2013,SF,Giants,"San Francisco,US",30,40,37.78,-122.42,0.75
11,2013,CLE,Indians,"Cleveland,US",40,30,41.51,-81.69,1.3333333333333333
12,2013,SEA,Mariners,"Seattle,US",33,45,47.6,-122.33,0.7333333333333333
13,2013,MIA,Marlins,"Florida,US",29,45,42.67,-73.01,0.6444444444444445
14,2013,NYM,Mets,"New York,US",23,48,40.73,-73.99,0.4791666666666667
15,2013,WSN,Nationals,"Washington,US",42,34,38.9,-77.04,1.2352941176470589
16,2013,BAL,Orioles,"Baltimore,US",40,35,39.29,-76.61,1.1428571428571428
17,2013,SD,Padres,"San Diego,US",36,36,32.72,-117.16,1.0
18,2013,PHI,Phillies,"Philadelphia,US",31,38,39.95,-75.16,0.8157894736842105
19,2013,PIT,Pirates,"Pittsburgh,US",41,31,40.44,-79.99,1.3225806451612903
20,2013,TEX,Rangers,"Texas,US",39,36,30.17,-91.14,1.0833333333333333
21,2013,TB,Rays,"Tampa,US",38,30,27.95,-82.46,1.2666666666666666
22,2013,CIN,Reds,"Cincinnati,US",37,31,39.1,-84.51,1.1935483870967742
23,2013,BOS,RedSox,"Boston,US",42,28,42.36,-71.06,1.5
24,2013,COL,Rockies,"Colorado,US",37,36,29.99,-97.13,1.0277777777777777
25,2013,KCR,Royals,"Kansas City,US",37,37,39.08,-94.56,1.0
26,2013,DET,Tigers,"Detroit,US",46,30,42.35,-83.06,1.5333333333333334
27,2013,MIN,Twins,"Minnesota,US",27,49,40.66,-122.49,0.5510204081632653
28,2013,CHW,WhiteSox,"Chicago,US",29,44,41.88,-87.62,0.6590909090909091
29,2013,NYY,Yankees,"New York,US",39,35,40.73,-73.99,1.1142857142857143
0,2014,LAA,Angels,"Los Angeles,US",42,29,34.05,-118.24,1.4482758620689655
1,2014,HOU,Astros,"Houston,US",34,43,29.76,-95.37,0.7906976744186046
2,2014,OAK,Athletics,"Oakland,US",38,33,37.8,-122.27,1.1515151515151516
3,2014,TOR,BlueJays,"Toronto,CA",39,35,43.65,-79.39,1.1142857142857143
4,2014,ATL,Braves,"Atlanta,US",38,39,33.75,-84.39,0.9743589743589743
5,2014,MIL,Brewers,"Milwaukee,US",36,39,43.03,-87.92,0.9230769230769231
